key,value
ISO3,CHE
HDR Country Name,Switzerland
Human Development Groups,Very High
UNDP Developeing Regions,
"Expected Years of Schooling, male (years) (2016)",16.19247055
"Expected Years of Schooling, male (years) (2017)",16.18490028
"Expected Years of Schooling, male (years) (2018)",16.27742004
"Expected Years of Schooling, male (years) (2019)",16.35108948
"Expected Years of Schooling, male (years) (2020)",16.4090004
"Expected Years of Schooling, male (years) (2021)",16.49819946
"Expected Years of Schooling, male (years) (2022)",16.54634094
"Expected Years of Schooling, male (years) (2023)",16.54634094
"Mean Years of Schooling, male (years) (1990)",11.35666931
"Mean Years of Schooling, male (years) (1991)",11.35458933
"Mean Years of Schooling, male (years) (1992)",11.35250936
"Mean Years of Schooling, male (years) (1993)",11.35042938
"Mean Years of Schooling, male (years) (1994)",11.3483494
"Mean Years of Schooling, male (years) (1995)",11.34626943
"Mean Years of Schooling, male (years) (1996)",11.34210948
"Mean Years of Schooling, male (years) (1997)",11.33794952
"Mean Years of Schooling, male (years) (1998)",11.33378957
"Mean Years of Schooling, male (years) (1999)",11.32962962
"Mean Years of Schooling, male (years) (2000)",11.32546967
"Mean Years of Schooling, male (years) (2001)",11.4440283
"Mean Years of Schooling, male (years) (2002)",11.56258694
"Mean Years of Schooling, male (years) (2003)",11.68114557
"Mean Years of Schooling, male (years) (2004)",11.79970421
"Mean Years of Schooling, male (years) (2005)",11.91826285
"Mean Years of Schooling, male (years) (2006)",12.42369703
"Mean Years of Schooling, male (years) (2007)",12.92913121
"Mean Years of Schooling, male (years) (2008)",13.4345654
"Mean Years of Schooling, male (years) (2009)",13.93999958
"Mean Years of Schooling, male (years) (2010)",13.86999989
"Mean Years of Schooling, male (years) (2011)",13.85999966
"Mean Years of Schooling, male (years) (2012)",13.93999958
"Mean Years of Schooling, male (years) (2013)",14.0449996
"Mean Years of Schooling, male (years) (2014)",14.14999962
"Mean Years of Schooling, male (years) (2015)",14.18000031
"Mean Years of Schooling, male (years) (2016)",14.14999962
"Mean Years of Schooling, male (years) (2017)",14.18499994
"Mean Years of Schooling, male (years) (2018)",14.22000027
"Mean Years of Schooling, male (years) (2019)",14.25
"Mean Years of Schooling, male (years) (2020)",14.27010707
"Mean Years of Schooling, male (years) (2021)",14.2902425
"Mean Years of Schooling, male (years) (2022)",14.2902425
"Mean Years of Schooling, male (years) (2023)",14.2902425
"Gross National Income Per Capita, male (2021 PPP$) (1990)",94458.06667
"Gross National Income Per Capita, male (2021 PPP$) (1991)",89852.10942
"Gross National Income Per Capita, male (2021 PPP$) (1992)",88239.35987
"Gross National Income Per Capita, male (2021 PPP$) (1993)",87324.27286
"Gross National Income Per Capita, male (2021 PPP$) (1994)",86943.9387
"Gross National Income Per Capita, male (2021 PPP$) (1995)",87578.12233
"Gross National Income Per Capita, male (2021 PPP$) (1996)",85563.11923
"Gross National Income Per Capita, male (2021 PPP$) (1997)",87875.03592
"Gross National Income Per Capita, male (2021 PPP$) (1998)",90225.40725
"Gross National Income Per Capita, male (2021 PPP$) (1999)",102003.4759
"Gross National Income Per Capita, male (2021 PPP$) (2000)",104982.0627
"Gross National Income Per Capita, male (2021 PPP$) (2001)",102612.3705
"Gross National Income Per Capita, male (2021 PPP$) (2002)",101630.7617
"Gross National Income Per Capita, male (2021 PPP$) (2003)",105074.3709
"Gross National Income Per Capita, male (2021 PPP$) (2004)",105998.0016
"Gross National Income Per Capita, male (2021 PPP$) (2005)",109242.0707
"Gross National Income Per Capita, male (2021 PPP$) (2006)",110939.1215
"Gross National Income Per Capita, male (2021 PPP$) (2007)",106650.1376
"Gross National Income Per Capita, male (2021 PPP$) (2008)",99751.36612
"Gross National Income Per Capita, male (2021 PPP$) (2009)",104974.7685
"Gross National Income Per Capita, male (2021 PPP$) (2010)",111125.9144
"Gross National Income Per Capita, male (2021 PPP$) (2011)",106014.1882
"Gross National Income Per Capita, male (2021 PPP$) (2012)",107311.3946
"Gross National Income Per Capita, male (2021 PPP$) (2013)",106334.6621
"Gross National Income Per Capita, male (2021 PPP$) (2014)",104239.4416
"Gross National Income Per Capita, male (2021 PPP$) (2015)",105514.8658
"Gross National Income Per Capita, male (2021 PPP$) (2016)",103167.096
"Gross National Income Per Capita, male (2021 PPP$) (2017)",101374.8109
"Gross National Income Per Capita, male (2021 PPP$) (2018)",101111.4894
"Gross National Income Per Capita, male (2021 PPP$) (2019)",101088.4074
"Gross National Income Per Capita, male (2021 PPP$) (2020)",95823.21809
"Gross National Income Per Capita, male (2021 PPP$) (2021)",102439.6326
"Gross National Income Per Capita, male (2021 PPP$) (2022)",104551.2476
"Gross National Income Per Capita, male (2021 PPP$) (2023)",103807.5721
Inequality-adjusted Human Development Index (value) (2010),0.87
Inequality-adjusted Human Development Index (value) (2011),0.873
Inequality-adjusted Human Development Index (value) (2012),0.879
Inequality-adjusted Human Development Index (value) (2013),0.884
Inequality-adjusted Human Development Index (value) (2014),0.884
Inequality-adjusted Human Development Index (value) (2015),0.884
Inequality-adjusted Human Development Index (value) (2016),0.887
Inequality-adjusted Human Development Index (value) (2017),0.886
Inequality-adjusted Human Development Index (value) (2018),0.889
Inequality-adjusted Human Development Index (value) (2019),0.891
Inequality-adjusted Human Development Index (value) (2020),0.885
Inequality-adjusted Human Development Index (value) (2021),0.891
Inequality-adjusted Human Development Index (value) (2022),0.89
Inequality-adjusted Human Development Index (value) (2023),0.894
Coefficient of human inequality (2010),7.610542803
Coefficient of human inequality (2011),7.510459833
Coefficient of human inequality (2012),7.13789928
Coefficient of human inequality (2013),7.039557993
Coefficient of human inequality (2014),7.389523057
Coefficient of human inequality (2015),7.403342833
Coefficient of human inequality (2016),7.245019057
Coefficient of human inequality (2017),7.49285091
Coefficient of human inequality (2018),7.365603
